wohnflaeche;grundstueckflaeche;anz_zimmer;kategorie;keller;baujahr;energieeffizienz;zustand;kontextWert;price1;price2;priceDelta
-0.34;-583.0;-2.0;1;1;-2;0;0;-100;134500;299000;-164500
0.0;19.0;-1.0;0;0;120;0;3;-50;134500;144000;-9500
-4.0;77.0;1.0;1;0;-14;0;0;0;135000;169000;-34000
-4.0;77.0;1.0;1;0;-14;0;0;0;135000;199000;-64000
-10.0;40.0;0.0;1;0;-9;-2;0;-250;135000;230000;-95000
7.0;-31.0;2.0;1;-1;39;1;0;-50;135000;79500;55500
7.0;-31.0;2.0;1;-1;39;1;0;-50;135000;79500;55500
5.82;-386.0;2.0;0;0;-13;-2;2;0;135000;438000;-303000
-0.09;-9179.09;-1.0;0;2;10;0;0;0;135000;198000;-63000
-0.23;-9179.23;-1.0;0;2;10;0;0;0;135000;198000;-63000
10.0;169.0;0.0;0;0;30;0;0;-50;135000;113875;21125
-8.0;112.0;-2.0;0;1;-16;0;0;50;136000;171000;-35000
-8.0;-53.0;1.0;1;0;-6;0;3;0;136000;278000;-142000
-3.0;-334.0;0.0;0;2;-3;0;0;-150;136000;175000;-39000
-0.43;-219.0;-2.0;1;0;-43;0;-2;50;137637;179000;-41363
-12.0;-477.0;-4.0;1;0;-24;0;0;50;137637;199000;-61363
-12.04;-477.04;-4.0;1;0;-24;0;0;50;137637;199000;-61363
0.0;-26.0;0.5;0;0;3;0;0;100;139000;119000;20000
-8.0;76.0;0.0;0;0;5;0;2;0;139000;210000;-71000
0.0;106.0;0.0;0;0;7;0;2;-100;139000;185000;-46000
-0.16;58.0;-1.0;1;-1;-13;0;0;-50;139000;299000;-160000
-19.15;6.85;-2.0;0;-2;-6;-1;0;0;139000;198000;-59000
0.56;-10.0;0.0;1;-1;-27;1;0;50;139000;182000;-43000
-10.2;320.0;0.0;1;1;0;-4;0;0;140000;169000;-29000
-0.2;148.0;1.0;0;0;-76;-5;0;0;140000;495000;-355000
1.8;303.0;1.0;0;0;0;-3;-2;50;140000;120000;20000
2.0;42.0;-1.0;0;0;11;-1;0;-150;140000;265000;-125000
-6.7;315.0;-1.0;0;1;11;0;0;0;140000;369000;-229000
-14.0;24.0;-1.0;1;1;5;-1;0;50;140000;219000;-79000
10.58;146.96;1.0;0;-2;4;1;0;0;140000;190000;-50000
10.62;147.0;1.0;0;-2;4;1;0;0;140000;190000;-50000
0.62;-373.0;1.0;0;0;3;2;0;0;140000;299000;-159000
0.0;-19.0;1.0;0;0;-120;0;-3;50;144000;134500;9500
5.0;-464.0;-1.0;0;1;-124;0;0;100;144000;337000;-193000
4.0;-493.0;0.0;0;0;-6;1;-3;-200;144000;129000;15000
-2.0;-8.0;1.0;1;0;148;-2;0;50;145000;112000;33000
-2.0;-8.0;1.0;1;0;148;-2;0;50;145000;102000;43000
-8.0;-186.0;-1.0;0;1;1;-1;2;100;145000;120000;25000
0.0;842.0;1.0;0;0;83;-1;0;0;145000;135000;10000
-0.09;-8337.09;0.0;0;2;93;-1;0;0;145000;198000;-53000
-0.23;-8337.23;0.0;0;2;93;-1;0;0;145000;198000;-53000
-14.5;172.0;0.0;1;0;0;1;0;0;146000;210000;-64000
-12.5;-18.0;0.0;1;-1;-6;1;0;-50;146000;395000;-249000
-3.5;-261.0;0.0;1;0;-5;1;0;100;146000;247000;-101000
10.0;-177.0;-1.0;1;1;3;0;0;-50;148000;175000;-27000
9.0;105.0;0.0;1;0;16;0;0;100;148000;225000;-77000
-6.25;-5.0;0.0;1;0;10;0;0;-300;148000;120000;28000
-0.01;-0.01;0.0;0;0;0;0;0;0;149000;149000;0
-5.96;-776.96;0.0;0;0;-13;2;0;-50;149000;660000;-511000
-20.55;-128.06;4.0;0;0;5;2;0;150;149000;280000;-131000
5.0;277.0;3.0;1;0;3;0;0;0;149000;295000;-146000
-2.0;321.0;0.0;0;0;-20;1;0;50;149000;85000;64000
-8.0;153.0;0.0;0;0;-17;1;0;-150;149000;260000;-111000
0.0;0.0;0.0;0;0;0;0;0;0;149000;174000;-25000
4.0;84.0;-2.0;0;0;13;-4;0;0;149000;265000;-116000
-7.0;618.0;0.0;0;0;-6;0;0;0;149000;149000;0
-1.0;26.0;2.0;0;1;-112;0;0;100;149000;189000;-40000
-12.0;-100.0;2.0;1;0;-88;0;0;0;149000;165000;-16000
-3.8;-151.0;2.0;1;1;-128;-2;0;0;149000;225000;-76000
0.01;0.01;0.0;0;0;0;0;0;0;149000;149000;0
-5.95;-776.95;0.0;0;0;-13;2;0;-50;149000;660000;-511000
-20.54;-128.05;4.0;0;0;5;2;0;150;149000;280000;-131000
-5.0;-98.0;0.0;0;0;37;0;0;0;149000;159000;-10000
7.0;-618.0;0.0;0;0;6;0;0;0;149000;149000;0
7.0;-618.0;0.0;0;0;6;0;0;0;149000;174000;-25000
0.01;0.01;0.0;0;0;0;0;0;0;149000;180000;-31000
0.12;0.12;0.0;0;0;0;0;0;0;149000;180000;-31000
-6.71;53.29;5.0;0;0;9;0;0;50;149000;699000;-550000
5.64;127.0;0.0;0;1;-10;-1;0;-50;149900;218000;-68100
-16.0;7.0;0.0;0;1;-5;-3;0;-150;149900;309900;-160000
-16.0;7.0;0.0;0;1;-5;-3;0;-150;149900;309900;-160000
0.0;0.0;0.0;0;0;0;0;0;0;152000;152000;0
-5.0;-12.0;-1.0;0;-2;0;0;0;-150;152000;298000;-146000
-5.0;-12.0;-1.0;0;-2;0;0;0;-150;152000;298000;-146000
0.0;0.0;0.0;0;0;0;0;0;0;152000;152000;0
-5.0;-12.0;-1.0;0;-2;0;0;0;-150;152000;298000;-146000
-5.0;-12.0;-1.0;0;-2;0;0;0;-150;152000;298000;-146000
4.24;-16.0;0.0;0;0;-6;0;0;50;158000;230000;-72000
4.24;-16.0;0.0;0;0;-6;0;0;50;158000;199900;-41900
4.24;-16.0;0.0;0;0;-6;0;0;50;158000;185000;-27000
16.0;-483.0;0.0;0;1;-3;1;0;0;158000;398000;-240000
2.77;286.77;-1.5;0;0;33;0;0;0;158000;299000;-141000
2.99;286.99;-1.5;0;0;33;0;0;0;158000;349000;-191000
0.0;233.0;2.0;0;0;13;0;2;0;158500;295500;-137000
0.0;233.0;2.0;0;0;13;0;2;0;158500;315500;-157000
25.0;-26.0;1.0;0;0;-26;0;0;-100;158500;259000;-100500
0.47;222.0;0.0;1;-1;-8;0;2;50;159000;175000;-16000
23.0;21.0;1.0;0;-1;2;0;0;-250;159000;136000;23000
15.0;133.0;-1.0;0;0;-14;0;0;-200;159000;171000;-12000
0.0;9.0;-1.0;0;0;9;0;0;-100;159000;249000;-90000
5.0;98.0;0.0;0;0;-37;0;0;0;159000;149000;10000
-5.0;-74.0;-1.0;0;0;5;0;-2;-100;159000;189000;-30000
1.49;3.0;-3.0;0;-1;0;0;0;-100;159000;85000;74000
3.49;188.0;-1.0;0;0;5;0;0;0;159000;169000;-10000
8.49;34.0;-3.0;0;-1;4;0;0;-50;159000;247000;-88000
-18.0;225.0;0.0;0;1;0;6;0;50;159000;179000;-20000
1.0;136.0;0.0;0;0;32;6;0;-100;159000;225000;-66000
2.0;865.0;0.0;0;0;-15;6;0;-50;159000;269000;-110000
0.0;284.0;0.0;0;-1;8;-1;0;50;159000;329000;-170000
