wohnflaeche;grundstueckflaeche;zimmer;category;basement;year;efficiency_rating;condition;floors;terrace;type;price;id;plz;street;city;district;kontextlabel;kontextWert
139;1000;5;einfamilienhaus;1.19;2020;8;1.2;1.9;Terrasse ;Massivhaus;479000;75836051;26831;Straße nicht freigegeben;Bunde;Ditzumerverlaat;1;1650
150;1944;5;einfamilienhaus;2;1931;0;1;1.9;Terrasse ;Massivhaus;225000;39476171;26831;Straße nicht freigegeben;Bunde;Bunderhammrich;1;1650
89;300;3;einfamilienhaus;1.19;2022;6;1.2;1.9;Terrasse ;Massivhaus;280000;53866560;26831;Straße nicht freigegeben;Bunde;Bunderhammrich;1;1650
270;1300;8;einfamilienhaus;2;1980;4;1;1.9;Garten. Balkon ;Massivhaus;439000;96854549;26831;Straße nicht freigegeben;Bunde;;1;1650
91;300;3;einfamilienhaus;1.19;2022;6;1.2;1.9;Terrasse ;Massivhaus;275000;39527302;26831;Straße nicht freigegeben;Bunde;Bunderhammrich;1;1650
159;819;5;einfamilienhaus;1.19;1978;2.8;1;1.9;Terasse;Massivhaus;259000;41906528;26831;Straße nicht freigegeben;Bunde;;1;1650
149.74;992;3;einfamilienhaus;1.19;2000;5;1.2;1.9;Terrasse ;Massivhaus;295000;85182175;26831;Straße nicht freigegeben;BundeWymeer;;1;1650
155;440;5;doppelhaushälfte;2;2022;2.8;1.2;1.9;Terrasse. Garten ;Massivhaus;495000;98446486;26831;Straße nicht freigegeben;BundeBunderhammrich;;1;1650
144;666;6;einfamilienhaus;1.19;1956;2;1;1.9;Terasse;Massivhaus;299000;62179136;26831;Straße nicht freigegeben;BundeDitzumerverlaat;;1;1650
132;580;4;einfamilienhaus;2;1974;0;1;1.9;Terrasse ;Massivhaus;265000;64752144;26831;Straße nicht freigegeben;Bunde;Bunderhammrich;1;1650
148;1098;4;einfamilienhaus;0;1998;3;1;1.9;Terrasse. Garten ;Massivhaus;259900;22315388;26831;Straße nicht freigegeben;Bunde;Bunderhammrich;1;1650
369;1698;14;einfamilienhaus;1;1981;2.8;1.2;1.9;Terrasse ;Massivhaus;536000;41822080;26831;Straße nicht freigegeben;Bunde;Bunderhammrich;1;1650
130;1760;5;einfamilienhaus;1.19;1960;2.8;1;1.9;Terasse;Massivhaus;199000;17961163;26831;Straße nicht freigegeben;BundeOstfriesl;Ditzumerhammrich;1;1650
153;759;6;einfamilienhaus;0;1978;4;1;1.9;Terrasse. Garten ;Massivhaus;299000;57578699;26831;Straße nicht freigegeben;Bunde;;1;1650
142.74;779;4;einfamilienhaus;1.19;2021;6;1.2;1.9;Terasse;Massivhaus;385000;87787795;26831;Straße nicht freigegeben;Bunde;;1;1650
126.98;1107;5;einfamilienhaus;1;1977;1;1.2;1.9;Terrasse ;Massivhaus;324900;95874059;26845;Straße nicht freigegeben;Nortmoor;;1;2450
110;600;4;einfamilienhaus;1.19;2001;2.8;1.2;1.9;Terasse;Massivhaus;450000;71957487;30974;Straße nicht freigegeben;Wennigsen;DeisterHoltensen;10;2650
154.6;587;3;doppelhaushälfte;1;1890;2.8;1.2;1.9;Terrasse. Balkon ;Massivhaus;349000;98053724;30974;Straße nicht freigegeben;Wennigsen;DeisterHoltensen;10;2650
175;1290;7;einfamilienhaus;2;1975;2.8;1.2;1.9;Terrasse. Garten. Balkon ;Massivhaus;995000;76284845;30974;Straße nicht freigegeben;Wennigsen;Bredenbeck;10;2650
168;1199;8;einfamilienhaus;2;1960;0;1;1.9;Terrasse. Garten ;Massivhaus;359000;45122528;30974;Straße nicht freigegeben;Wennigsen;;10;2650
110;1760;5;einfamilienhaus;1.19;2022;2.8;1.2;1.9;Terasse;Massivhaus;222730;48870155;30974;Schulstraße ;Wennigsen;DeisterBredenbeck;10;2650
167.24;1760;8;mehrfamilienhaus;2;1964;3;1;1.9;Terasse;Massivhaus;199900;42677961;21732;Straße nicht freigegeben;Krummendeich;;0;2250
343;1255;12;mehrfamilienhaus;2;1920;4;1;1.9;Terrasse. Balkon ;Massivhaus;219000;31746110;21732;Straße nicht freigegeben;KrummendeichStellenfleth;;0;2250
140;630;4;einfamilienhaus;1.19;2000;6;1;1.9;Terrasse. Garten. Balkon ;Holzhaus;329000;56844418;49846;Straße nicht freigegeben;Hoogstede;;1;1900
140;630;4;einfamilienhaus;1.19;2000;6;1;1.9;Terrasse. Garten. Balkon ;Holzhaus;329000;55677610;49846;Straße nicht freigegeben;Hoogstede;;1;1900
140;630;4;einfamilienhaus;1.19;2000;6;1;1.9;Terrasse. Garten. Balkon ;Holzhaus;329000;62560996;49846;Straße nicht freigegeben;Hoogstede;;1;1900
184;1000;6;mehrfamilienhaus;1;1952;4;1;1.9;Terrasse. Garten. Loggia ;Massivhaus;389000;20472954;49846;Straße nicht freigegeben;Hoogstede;;1;1900
140;630;4;einfamilienhaus;1.19;2000;6;1;1.9;Terrasse. Garten. Balkon ;Holzhaus;329000;61847225;49846;Straße nicht freigegeben;Hoogstede;;1;1900
205;13265;10;einfamilienhaus;1.19;1968;4;1;1.9;Terasse;Massivhaus;499000;38321780;49846;Straße nicht freigegeben;Hoogstede;;1;1900
135;545;6;einfamilienhaus;1.19;1984;3;1;1.9;Terasse;Massivhaus;265000;63516572;26629;Straße nicht freigegeben;Großefehn;Ostgroßefehn;1;2350
125.69;663;5;doppelhaushälfte;0;2020;7;1.2;1;Garten. Terrasse ;Massivhaus;342900;23602817;49429;Straße nicht freigegeben;Visbek;;2;1850
114;757;5;einfamilienhaus;1.19;1965;5;1;1.9;Terrasse ;Massivhaus;275000;76892833;49429;Straße nicht freigegeben;VisbekHalter;;2;1850
35;300;3;einfamilienhaus;1.19;2020;2.8;1.2;1.9;Terrasse ;Massivhaus;59000;94999792;49429;Straße nicht freigegeben;VisbekKrVechta;;2;1850
162;780;5;bungalow;0;1970;2.8;1;1.9;Terrasse ;Massivhaus;295000;76003223;49429;Straße nicht freigegeben;Visbek;;2;1850
