wohnflaeche;grundstueckflaeche;zimmer;category;basement;year;efficiency_rating;condition;floors;terrace;type;price;id;plz;street;city;district;kontextlabel;kontextWert
145;1204;4;einfamilienhaus;2;1982;2.8;1;1.9;Terrasse. Garten ;Massivhaus;699999;97122947;21220;Straße nicht freigegeben;Seevetal;Maschen;11;4250
295;1318;8;einfamilienhaus;2;2000;6;1.2;1.9;Terrasse ;Massivhaus;2300000;70086812;21220;Straße nicht freigegeben;Seevetal;Maschen;11;4250
120.4;389;5;doppelhaushälfte;1.19;1984;7;3;1.9;Terrasse ;Massivhaus;469900;14365708;21220;Straße nicht freigegeben;Seevetal;Maschen;11;4250
190;1500;8;mehrfamilienhaus;2;1972;3;1;2;Terrasse. Garten. Balkon ;Massivhaus;849000;62011620;21220;Straße nicht freigegeben;Seevetal;Maschen;11;4250
134;2588;3;einfamilienhaus;2;1964;2.8;1;1.9;Terrasse. Balkon ;Massivhaus;989000;29683750;21220;Straße nicht freigegeben;Seevetal;Maschen;11;4250
209.96;973;7;einfamilienhaus;1.19;1957;0;3;1.9;Terrasse ;Massivhaus;480000;47390841;21220;Straße nicht freigegeben;Seevetal;Ohlendorf;11;4250
140;1200;4;einfamilienhaus;2;1980;2;1;1.9;Terrasse ;Massivhaus;569000;19977947;21220;Straße nicht freigegeben;Seevetal;Maschen;11;4250
100;865;5;einfamilienhaus;2;1964;0;3;1.9;Terrasse ;Massivhaus;429000;99203934;21220;Straße nicht freigegeben;SeevetalOhlendorf;;11;4250
530;1320;19;mehrfamilienhaus;1.19;2002;2.8;1;1.9;Terasse;Massivhaus;2489500;50775130;21220;Straße nicht freigegeben;Seevetal;Maschen;11;4250
184;650;7;doppelhaushälfte;2;2003;5;1;1.9;Terrasse. Garten ;Massivhaus;680000;70791806;21220;Straße nicht freigegeben;Seevetal;Ohlendorf;11;4250
252;654;7;mehrfamilienhaus;1.19;1998;4;1;1.9;Terrasse. Garten. Balkon ;Massivhaus;460000;78920168;49835;Straße nicht freigegeben;Wietmarschen;Lohne;2;2300
204;792;8;einfamilienhaus;1;1991;3;1.2;1.9;Terrasse. Garten. Loggia ;Massivhaus;362000;31841998;49835;Straße nicht freigegeben;Wietmarschen;Lohne;2;2300
240;696;10;mehrfamilienhaus;2;1975;2.8;1.2;1.9;Terrasse. Garten. Balkon ;Massivhaus;795000;58295891;30827;Straße nicht freigegeben;Garbsen;Stelingen;11;3350
110;400;4;einfamilienhaus;0;2000;2.8;1;1.9;Terrasse. Garten ;Massivhaus;289000;46906646;26831;Straße nicht freigegeben;Bunde;Wymeer;1;1650
150;1150;7;mehrfamilienhaus;2;1896;1;1.2;1.9;Terrasse ;Massivhaus;265000;91876668;26831;Straße nicht freigegeben;Bunde;;1;1650
70;601;5;einfamilienhaus;1;1963;2.8;3;1.9;Terrasse. Garten ;Massivhaus;129000;29092348;26831;Straße nicht freigegeben;Bunde;;1;1650
103.49;835;3;einfamilienhaus;1;1960;0;1;1.9;Terasse;Massivhaus;159000;31498331;26831;Straße nicht freigegeben;Bunde;;1;1650
