id;plz;stadt;strasse;stadtteil;preis;wohnflaeche;grundstueckflaeche;anz_zimmer;kategorie;keller;baujahr;energieeffizienz;zustand;kontextLabel;kontextWert
36812114;37574;Einbeck;Straße nicht freigegeben;Greene;127000;155.0;283.0;10.0;einfamilienhaus;1;1900;0;3;5;1050
63176150;37170;Uslar;Straße nicht freigegeben;Sohlingen;129000;131.0;598.0;6.0;doppelhaushälfte;2;1945;0;0;5;1300
98613975;38685;Langelsheim;Lautenthaler Straße 13;;129000;235.0;537.0;8.0;doppelhaushälfte;2;1987;2;3;5;2350
93283463;37603;Holzminden;Straße nicht freigegeben;;129000;156.0;745.0;7.0;einfamilienhaus;2;1856;0;3;5;1850
51320760;38229;Salzgitter;Straße nicht freigegeben;Barum;129000;138.0;300.0;6.0;einfamilienhaus;2;1890;0;3;10;2100
59306966;21729;Freiburg;Straße nicht freigegeben;Elbe;129999;108.0;222.0;4.0;einfamilienhaus;1;1920;1;0;0;1200
32997858;26452;Sande;Straße nicht freigegeben;Cäciliengroden;130000;90.0;798.0;4.0;doppelhaushälfte;1;1938;2;1;9;1850
30330431;21244;BuchholzinderNordheide;Straße nicht freigegeben;Sprötze;134500;65.0;2000.0;3.5;einfamilienhaus;0;1965;1;3;10;4050
19454937;38729;Lutter;Straße nicht freigegeben;;134500;160.0;271.0;6.0;einfamilienhaus;2;1970;1;3;5;1600
17301891;37699;Fürstenberg;Straße nicht freigegeben;;135000;150.0;747.0;6.0;doppelhaushälfte;2;1948;0;1;1;1150
51398700;37620;Bremke;Straße nicht freigegeben;;135000;207.0;519.0;9.0;mehrfamilienhaus;1;1975;2;3;1;1000
58959990;38170;Eitzum;Straße nicht freigegeben;;135000;160.0;452.0;5.0;einfamilienhaus;2;1930;1;3;1;1150
96463501;29345;Südheide;Straße nicht freigegeben;Unterlüß;136000;112.0;1229.0;5.0;einfamilienhaus;2;1953;0;3;0;1600
61438931;31137;Hildesheim;Straße nicht freigegeben;;137637;70.0;50.0;2.0;einfamilienhaus;2;1912;0;1;10;2700
28679442;49610;Quakenbrück;Straße nicht freigegeben;Neustadt;139000;100.0;510.0;4.0;einfamilienhaus;1;1931;0;3;9;2050
65601374;29308;Winsen;Straße nicht freigegeben;Aller;139000;75.0;381.0;2.0;doppelhaushälfte;0;1977;1;1;5;2250
83365339;37603;Silberborn;Straße nicht freigegeben;;140000;146.8;703.0;7.0;einfamilienhaus;2;1900;0;1;5;1850
43193847;21781;Cadenberge;Straße nicht freigegeben;;140000;136.0;900.0;4.0;einfamilienhaus;2;1964;0;3;0;2000
38054068;29481;KarwitzNausen;Straße nicht freigegeben;;140000;140.62;1459.0;6.0;einfamilienhaus;0;1974;2;3;0;2000
95874900;38315;Schladen;Goslarsche Straße 8;Wehre;144000;160.0;252.0;7.0;einfamilienhaus;2;1850;1;0;2;1650
32082571;38387;Söllingen;Straße nicht freigegeben;;145000;180.0;320.0;7.0;einfamilienhaus;2;1992;0;3;1;1050
12049745;38364;Schöningen;Straße nicht freigegeben;;145000;160.0;1294.0;6.0;einfamilienhaus;2;2013;0;3;9;1150
73253469;48499;Salzbergen;Straße nicht freigegeben;;146000;107.5;1183.0;6.0;doppelhaushälfte;1;1952;1;3;2;2250
98473965;38539;Müden;Straße nicht freigegeben;Hahnenhorn;148000;150.0;1469.0;6.0;doppelhaushälfte;2;1923;0;3;2;1850
80574889;31195;Lamspringe;Straße nicht freigegeben;;149000;350.04;707.04;13.0;mehrfamilienhaus;2;1915;2;1;1;1100
99993942;21745;Hemmoor;Straße nicht freigegeben;Warstade;149000;100.0;1153.0;6.0;einfamilienhaus;2;1940;1;1;4;1800
