wohnflaeche;grundstueckflaeche;zimmer;category;basement;year;efficiency_rating;condition;kontextWert;price1;price2;priceDelta
30.04;7.04;3.0;0;0;-79;-2;0;-50;149000;349000;-200000
-20.55;-128.06;4.0;0;0;5;2;0;150;149000;280000;-131000
-17.0;27.0;1.0;0;1;4;0;-2;-150;149000;199000;-50000
-45.0;46.0;3.0;0;1;-22;0;0;0;149000;265000;-116000
-43.0;151.0;0.0;0;0;-27;0;0;0;149000;243000;-94000
0.0;0.0;0.0;0;0;0;0;0;0;149000;174000;-25000
13.0;-30.0;0.5;0;-2;18;0;-2;0;149000;125000;24000
13.0;-30.0;0.5;0;-2;18;0;-2;0;149000;125000;24000
-11.2;-18.0;2.0;0;-1;-106;-1;2;0;149000;285000;-136000
19.56;-41.0;4.0;1;0;-139;0;2;0;149000;182000;-33000
-6.0;-54.0;2.0;0;0;-59;0;2;50;149000;185000;-36000
0.01;0.01;0.0;0;0;0;0;0;0;149000;149000;0
30.05;7.05;3.0;0;0;-79;-2;0;-50;149000;349000;-200000
-20.54;-128.05;4.0;0;0;5;2;0;150;149000;280000;-131000
-5.0;-98.0;0.0;0;0;37;0;0;0;149000;159000;-10000
25.0;-123.0;0.0;0;0;15;-1;0;-100;149000;249000;-100000
7.0;-618.0;0.0;0;0;6;0;0;0;149000;174000;-25000
0.01;0.01;0.0;0;0;0;0;0;0;149000;180000;-31000
0.12;0.12;0.0;0;0;0;0;0;0;149000;180000;-31000
-6.71;53.29;5.0;0;0;9;0;0;50;149000;699000;-550000
5.64;127.0;0.0;0;1;-10;-1;0;-50;149900;218000;-68100
0.04;-72.0;1.0;0;1;-71;-1;-2;0;149900;369000;-219100
24.0;229.0;0.0;0;1;0;0;-2;-50;149900;119000;30900
0.0;0.0;0.0;0;0;0;0;0;0;152000;152000;0
-11.0;-286.0;0.0;0;0;6;0;0;0;152000;239000;-87000
13.0;-238.0;0.0;0;0;10;1;0;0;152000;249000;-97000
0.0;0.0;0.0;0;0;0;0;0;0;152000;152000;0
-11.0;-286.0;0.0;0;0;6;0;0;0;152000;239000;-87000
13.0;-238.0;0.0;0;0;10;1;0;0;152000;249000;-97000
4.24;-16.0;0.0;0;0;-6;0;0;50;158000;199900;-41900
4.24;-16.0;0.0;0;0;-6;0;0;50;158000;230000;-72000
4.24;-16.0;0.0;0;0;-6;0;0;50;158000;185000;-27000
-4.56;-89.0;3.0;0;0;24;-3;2;0;158000;599000;-441000
10.0;50.0;-1.0;1;0;-23;-2;2;-50;158000;490000;-332000
16.0;-483.0;0.0;0;1;-3;1;0;0;158000;398000;-240000
0.0;233.0;2.0;0;0;13;0;2;0;158500;295500;-137000
0.0;233.0;2.0;0;0;13;0;2;0;158500;315500;-157000
25.0;-26.0;1.0;0;0;-26;0;0;-100;158500;259000;-100500
0.47;222.0;0.0;1;-1;-8;0;2;50;159000;175000;-16000
-30.0;219.0;0.0;0;-1;-5;-3;0;-50;159000;205500;-46500
25.0;24.0;1.0;0;-1;9;-2;2;-150;159000;279000;-120000
0.0;9.0;-1.0;0;0;9;0;0;-100;159000;249000;-90000
5.0;98.0;0.0;0;0;-37;0;0;0;159000;149000;10000
-5.0;-74.0;-1.0;0;0;5;0;-2;-100;159000;189000;-30000
-24.7;37.0;-1.0;0;-1;-3;0;0;0;159000;299900;-140900
3.49;188.0;-1.0;0;0;5;0;0;0;159000;169000;-10000
-26.51;-97.0;-1.0;0;0;-3;-1;0;0;159000;245000;-86000
-18.0;225.0;0.0;0;1;0;6;0;50;159000;179000;-20000
-8.0;-444.0;1.0;0;0;8;6;2;0;159000;225000;-66000
1.0;136.0;0.0;0;0;32;6;0;-100;159000;225000;-66000
-8.0;-106.0;0.0;1;0;-1;-5;2;50;159000;485000;-326000
-9.0;76.0;0.0;0;-1;-20;0;0;-50;159000;295000;-136000
