wohnflaeche;grundstueckflaeche;zimmer;category;basement;year;efficiency_rating;condition;price;id;plz;street;city;district;kontextlabel;kontextWert
235.0;537.0;8.0;doppelhaushälfte;2;1987;2;3;129000;98613975;38685;Lautenthaler Straße 13;Langelsheim;;5;2350
156.0;745.0;7.0;einfamilienhaus;2;1856;0;3;129000;93283463;37603;Straße nicht freigegeben;Holzminden;;5;1850
138.0;300.0;6.0;einfamilienhaus;2;1890;0;3;129000;51320760;38229;Straße nicht freigegeben;Salzgitter;Barum;10;2100
108.0;222.0;4.0;einfamilienhaus;1;1920;1;0;129999;59306966;21729;Straße nicht freigegeben;Freiburg;Elbe;0;1200
90.0;798.0;4.0;doppelhaushälfte;1;1938;2;1;130000;32997858;26452;Straße nicht freigegeben;Sande;Cäciliengroden;9;1850
65.0;2000.0;3.5;einfamilienhaus;0;1965;1;3;134500;30330431;21244;Straße nicht freigegeben;BuchholzinderNordheide;Sprötze;10;4050
160.0;271.0;6.0;einfamilienhaus;2;1970;1;3;134500;19454937;38729;Straße nicht freigegeben;Lutter;;5;1600
150.0;747.0;6.0;doppelhaushälfte;2;1948;0;1;135000;17301891;37699;Straße nicht freigegeben;Fürstenberg;;1;1150
207.0;519.0;9.0;mehrfamilienhaus;1;1975;2;3;135000;51398700;37620;Straße nicht freigegeben;Bremke;;1;1000
160.0;452.0;5.0;einfamilienhaus;2;1930;1;3;135000;58959990;38170;Straße nicht freigegeben;Eitzum;;1;1150
112.0;1229.0;5.0;einfamilienhaus;2;1953;0;3;136000;96463501;29345;Straße nicht freigegeben;Südheide;Unterlüß;0;1600
70.0;50.0;2.0;einfamilienhaus;2;1912;0;1;137637;61438931;31137;Straße nicht freigegeben;Hildesheim;;10;2700
100.0;510.0;4.0;einfamilienhaus;1;1931;0;3;139000;28679442;49610;Straße nicht freigegeben;Quakenbrück;Neustadt;9;2050
75.0;381.0;2.0;doppelhaushälfte;0;1977;1;1;139000;65601374;29308;Straße nicht freigegeben;Winsen;Aller;5;2250
146.8;703.0;7.0;einfamilienhaus;2;1900;0;1;140000;83365339;37603;Straße nicht freigegeben;Silberborn;;5;1850
136.0;900.0;4.0;einfamilienhaus;2;1964;0;3;140000;43193847;21781;Straße nicht freigegeben;Cadenberge;;0;2000
140.62;1459.0;6.0;einfamilienhaus;0;1974;2;3;140000;38054068;29481;Straße nicht freigegeben;KarwitzNausen;;0;2000
160.0;252.0;7.0;einfamilienhaus;2;1850;1;0;144000;95874900;38315;Goslarsche Straße 8;Schladen;Wehre;2;1650
180.0;320.0;7.0;einfamilienhaus;2;1992;0;3;145000;32082571;38387;Straße nicht freigegeben;Söllingen;;1;1050
160.0;1294.0;6.0;einfamilienhaus;2;2013;0;3;145000;12049745;38364;Straße nicht freigegeben;Schöningen;;9;1150
107.5;1183.0;6.0;doppelhaushälfte;1;1952;1;3;146000;73253469;48499;Straße nicht freigegeben;Salzbergen;;2;2250
150.0;1469.0;6.0;doppelhaushälfte;2;1923;0;3;148000;98473965;38539;Straße nicht freigegeben;Müden;Hahnenhorn;2;1850
350.04;707.04;13.0;mehrfamilienhaus;2;1915;2;1;149000;80574889;31195;Straße nicht freigegeben;Lamspringe;;1;1100
100.0;1153.0;6.0;einfamilienhaus;2;1940;1;1;149000;99993942;21745;Straße nicht freigegeben;Hemmoor;Warstade;4;1800
78.0;770.0;3.0;einfamilienhaus;0;2013;0;1;149000;62120264;21727;Straße nicht freigegeben;EstorfGräpel;;0;2000
94.0;350.0;6.0;einfamilienhaus;1;1865;0;3;149000;64202897;31832;Straße nicht freigegeben;Springe;;6;2200
350.05;707.05;13.0;mehrfamilienhaus;2;1915;2;1;149000;59394719;31195;Straße nicht freigegeben;Lamspringe;;1;1100
